NM_MUNICIP,CD_GEOCMU,latitude,longitude,COD_TSE
ALTA FLORESTA D'OESTE,1100015,-12.470262271412489,-62.274734099206064,1120
ARIQUEMES,1100023,-9.95185794280634,-62.957152623596755,1570
CABIXI,1100031,-13.474917126006453,-60.64004458088721,1058
CACOAL,1100049,-11.301285362280955,-61.32474841009052,1007
CEREJEIRAS,1100056,-13.203518380158679,-61.26078533957627,1015
COLORADO DO OESTE,1100064,-13.15913042801483,-60.550119209360076,1074
CORUMBIARA,1100072,-12.926692024049187,-61.09165007568023,1112
COSTA MARQUES,1100080,-12.147180408758011,-64.05872670295767,1139
ESPIGÃO D'OESTE,1100098,-11.351221876209172,-60.78481652083269,1104
GUAJARÁ-MIRIM,1100106,-11.30568341333467,-64.53754354343877,1090
JARU,1100114,-10.592323880059984,-62.58474936850035,1554
JI-PARANÁ,1100122,-10.462173317373733,-61.75733300323122,1040
MACHADINHO D'OESTE,1100130,-9.204181178869552,-62.01037355938197,1511
NOVA BRASILÂNDIA D'OESTE,1100148,-11.643094315502221,-62.2801590697456,1023
OURO PRETO DO OESTE,1100155,-10.610551164428324,-62.17252308273071,1066
PIMENTA BUENO,1100189,-11.894400858166266,-60.83040501939261,1392
PORTO VELHO,1100205,-9.153590682604877,-64.30661739788927,1082
PRESIDENTE MÉDICI,1100254,-11.166360225457613,-61.87779531777344,1031
RIO CRESPO,1100262,-9.645142917574084,-62.790148033487775,1457
ROLIM DE MOURA,1100288,-11.732557121745884,-61.77159314713038,1538
SANTA LUZIA D'OESTE,1100296,-12.02673138251822,-61.70101097252866,1473
VILHENA,1100304,-12.095609116380803,-60.24837201017427,1490
SÃO MIGUEL DO GUAPORÉ,1100320,-11.614958286446091,-62.983061446914775,27014
NOVA MAMORÉ,1100338,-10.38210757722311,-64.62918328120888,27030
ALVORADA D'OESTE,1100346,-11.31134434998758,-62.54471179394781,27057
ALTO ALEGRE DOS PARECIS,1100379,-12.593067686813988,-61.88056407004181,27073
ALTO PARAÍSO,1100403,-9.64956165909976,-63.3941680361757,27090
BURITIS,1100452,-10.052208930769329,-63.94119607784858,27111
NOVO HORIZONTE DO OESTE,1100502,-11.681083550495035,-62.083034688486535,27138
CACAULÂNDIA,1100601,-10.331545078128133,-62.98733031574771,27154
CAMPO NOVO DE RONDÔNIA,1100700,-10.485020543006383,-63.79960939773465,27170
CANDEIAS DO JAMARI,1100809,-8.887036650754965,-63.32575070151388,27197
CASTANHEIRAS,1100908,-11.47088672990306,-61.87996437674764,27219
CHUPINGUAIA,1100924,-12.53732583613029,-60.89827090346492,27235
CUJUBIM,1100940,-9.170984388397171,-62.565277739242354,27251
GOVERNADOR JORGE TEIXEIRA,1101005,-10.748058682645985,-63.18412802344326,27081
ITAPUÃ DO OESTE,1101104,-9.170329212385482,-63.044856785950394,27278
MINISTRO ANDREAZZA,1101203,-11.160233513035417,-61.56896197961006,27294
MIRANTE DA SERRA,1101302,-11.07690017770174,-62.84795976467945,27316
MONTE NEGRO,1101401,-10.21072877516088,-63.37235945976015,27332
NOVA UNIÃO,1101435,-10.889347431106644,-62.532380924892514,27359
PARECIS,1101450,-12.262578586133133,-61.41537407336212,27375
PIMENTEIRAS DO OESTE,1101468,-13.173889334435515,-61.54489599821853,27391
PRIMAVERA DE RONDÔNIA,1101476,-11.878751026108125,-61.31537451034433,27413
SÃO FELIPE D'OESTE,1101484,-11.905324667100416,-61.46708379565703,27430
SÃO FRANCISCO DO GUAPORÉ,1101492,-12.368620406015939,-63.12220116729437,27456
SERINGUEIRAS,1101500,-11.807137165450563,-63.230767705580114,28894
TEIXEIRÓPOLIS,1101559,-10.94343889719914,-62.2797626676903,27472
THEOBROMA,1101609,-10.12182371482953,-62.34254501364328,27499
URUPÁ,1101708,-11.103969747071568,-62.42403337775913,27049
VALE DO ANARI,1101757,-9.732522550650977,-61.93927506720165,27510
VALE DO PARAÍSO,1101807,-10.384038303230165,-62.09397323497589,27537
ACRELÂNDIA,1200013,-9.933786248701676,-66.950433798689,27553
ASSIS BRASIL,1200054,-10.779081200290479,-70.00598967151255,27570
BRASILÉIA,1200104,-10.746577540444123,-69.20747654150156,27596
BUJARI,1200138,-9.61400112678098,-68.1738840410971,27618
CAPIXABA,1200179,-10.473590980829098,-67.83601133133779,27634
CRUZEIRO DO SUL,1200203,-7.971943383117104,-72.7548251893689,27650
EPITACIOLÂNDIA,1200252,-10.889051259029644,-68.61839583274336,27677
FEIJÓ,1200302,-8.924484276446952,-70.74482799353667,27693
JORDÃO,1200328,-9.24221943033809,-71.9059607815285,27715
MÂNCIO LIMA,1200336,-7.504478578662704,-73.43895875822827,27731
MANOEL URBANO,1200344,-9.38121821402129,-69.85393283541079,27065
MARECHAL THAUMATURGO,1200351,-9.095945597862169,-72.5593837899627,27758
PLÁCIDO DE CASTRO,1200385,-10.248913564996732,-67.33989535767338,27774
PORTO WALTER,1200393,-8.49168865308492,-72.73345348780525,27790
RIO BRANCO,1200401,-10.066062709298068,-68.37087999953229,27812
RODRIGUES ALVES,1200427,-7.843702179486773,-73.2232647344045,27839
SANTA ROSA DO PURUS,1200435,-9.41023204656566,-70.39548966927227,27855
SENADOR GUIOMARD,1200450,-9.997088026528306,-67.42717907958274,27871
SENA MADUREIRA,1200500,-9.771192072564226,-69.38160616037919,27979
TARAUACÁ,1200609,-8.23938303609606,-71.44490899497342,27898
XAPURI,1200708,-10.575567571876652,-68.50472801967814,27910
PORTO ACRE,1200807,-9.629528135525966,-67.69847482424053,27936
ALVARÃES,1300029,-3.6947123350410704,-65.32439119702926,27952
AMATURÁ,1300060,-3.4183725479672864,-68.2865429154754,27995
ANAMÃ,1300086,-3.5019152569377323,-61.718033028132105,28010
ANORI,1300102,-4.198714900240216,-62.09551222759053,28037
APUÍ,1300144,-7.759996475054077,-59.43194175344841,28053
ATALAIA DO NORTE,1300201,-5.712030002499953,-71.74163311681309,28070
AUTAZES,1300300,-3.787204328603052,-59.52552178754375,28096
BARCELOS,1300409,-0.4651857543858477,-63.43481130732234,28118
BARREIRINHA,1300508,-3.1290441371676083,-57.172441939837064,28134
BENJAMIN CONSTANT,1300607,-5.4264425220117545,-70.27621010791222,28150
BERURI,1300631,-4.606227054452729,-61.80428678564079,28177
BOA VISTA DO RAMOS,1300680,-3.1379954661773866,-57.67008282058789,28193
BOCA DO ACRE,1300706,-8.773113750159176,-68.0475392060781,28215
BORBA,1300805,-4.95755889121476,-59.534689640119716,28231
CAAPIRANGA,1300839,-3.082015131939156,-61.87773535735098,28258
CANUTAMA,1300904,-7.30083678230987,-64.06193165938289,28274
CARAUARI,1301001,-5.1185604519852586,-67.33750309849371,27022
CAREIRO,1301100,-3.7705498936237727,-60.183323846538116,27006
CAREIRO DA VÁRZEA,1301159,-3.286037390514513,-59.5987089300485,28290
COARI,1301209,-4.436255519085874,-64.1253466350082,28312
CODAJÁS,1301308,-3.289058455652844,-62.97330965814415,28339
EIRUNEPÉ,1301407,-7.022021139734143,-70.21824314587502,28355
ENVIRA,1301506,-7.573354386856304,-70.05517731079371,28371
FONTE BOA,1301605,-2.490878872641713,-66.35820386370177,28398
GUAJARÁ,1301654,-7.229812856924201,-72.8445120828578,28410
HUMAITÁ,1301704,-7.361349374679151,-62.48649535797262,28436
IPIXUNA,1301803,-7.180520706923517,-71.41279976534813,28452
IRANDUBA,1301852,-3.095282767393294,-60.4794374031613,28479
ITACOATIARA,1301902,-3.174075251194813,-58.7753395552048,28495
ITAMARATI,1301951,-6.682838771204437,-68.1128477038721,28517
ITAPIRANGA,1302009,-2.49730017896326,-58.61317690708597,28533
JAPURÁ,1302108,-1.6971188234129375,-68.32109662432076,28550
JURUÁ,1302207,-3.524452434298603,-66.3078360379915,28576
JUTAÍ,1302306,-4.715357377410581,-68.4063554864095,28592
LÁBREA,1302405,-8.375650459393594,-65.81167669622927,28614
MANACAPURU,1302504,-3.2916012213044064,-60.95880208947898,28630
MANAQUIRI,1302553,-3.7790104181397486,-60.69735287851665,28657
MANAUS,1302603,-2.625966642583681,-60.259662579004534,28673
MANICORÉ,1302702,-6.459835864539112,-61.44677947504473,28690
MARAÃ,1302801,-2.4267055307352017,-65.03977879025389,28711
MAUÉS,1302900,-4.98486770823568,-58.06095418321048,28738
NHAMUNDÁ,1303007,-1.6808113364286823,-57.65597590106126,28754
NOVA OLINDA DO NORTE,1303106,-3.989436634839085,-58.599690281428,28770
NOVO AIRÃO,1303205,-2.047350620355388,-61.702863645593254,28916
NOVO ARIPUANÃ,1303304,-6.824120386521387,-60.47714261615928,28797
PARINTINS,1303403,-2.688193334678247,-56.85459051178429,28819
PAUINI,1303502,-7.7577569678576515,-68.19718847944746,28932
PRESIDENTE FIGUEIREDO,1303536,-1.372186523590477,-59.98859772706457,28835
RIO PRETO DA EVA,1303569,-2.529852314898072,-59.638427179485035,28851
SANTA ISABEL DO RIO NEGRO,1303601,-0.3184175891978273,-65.52127057319032,28878
SANTO ANTÔNIO DO IÇÁ,1303700,-3.0529367314600435,-69.08949570915169,2895
SÃO GABRIEL DA CACHOEIRA,1303809,0.3748876314443599,-67.99688205504003,2917
SÃO PAULO DE OLIVENÇA,1303908,-4.5012193854256815,-69.45101647528607,2933
SÃO SEBASTIÃO DO UATUMÃ,1303957,-1.941808166830244,-58.70518652019274,2038
SILVES,1304005,-2.8204946069553936,-58.53711211252288,2003
TABATINGA,1304062,-4.028578589874061,-69.67811046315111,2054
TAPAUÁ,1304104,-6.093726430039705,-64.95568341519696,2070
TEFÉ,1304203,-4.470177413492032,-65.53159158889484,2097
TONANTINS,1304237,-2.6918545660060422,-67.82623938420032,2119
UARINI,1304260,-3.1656464393576726,-65.41080116973752,2135
URUCARÁ,1304302,-0.8941807160262755,-59.029717160027296,2950
URUCURITUBA,1304401,-2.8137551128746794,-57.77122544778822,2976
AMAJARI,1400027,3.7329501745113474,-62.43718467460108,2151
ALTO ALEGRE,1400050,3.0757314959882582,-62.759593542560395,2178
BOA VISTA,1400100,3.1182974574501667,-60.71777379626912,2992
BONFIM,1400159,2.7871566098086267,-60.100193119673996,2194
CANTÁ,1400175,2.2728273515482544,-60.54220910535472,2216
CARACARAÍ,1400209,0.9906820459436222,-61.47168372463168,2232
CAROEBE,1400233,0.9146414616245364,-59.338071370040254,2046
IRACEMA,1400282,2.1870816449200983,-62.43140876248062,2259
MUCAJAÍ,1400308,2.511156522264101,-61.99820479102105,2275
NORMANDIA,1400407,3.879173840175709,-60.06488891615175,2291
PACARAIMA,1400456,4.168677341257559,-60.83960518397593,2313
RORAINÓPOLIS,1400472,0.03775998223298219,-61.01053383741103,2330
SÃO JOÃO DA BALIZA,1400506,0.6357672603272811,-59.84503225538889,2020
SÃO LUIZ,1400605,0.8844008180639739,-60.15178275050013,2356
UIRAMUTÃ,1400704,4.683999849296597,-60.28088639744152,2399
ABAETETUBA,1500107,-1.7301855571457896,-48.8829468054778,98353
ABEL FIGUEIREDO,1500131,-4.957242033452125,-48.42465245101425,2410
ACARÁ,1500206,-2.0353866128142477,-48.41145383897917,98370
AFUÁ,1500305,-0.2639166099464681,-50.72759456473327,2437
ÁGUA AZUL DO NORTE,1500347,-6.772903356838943,-50.43035101239646,2453
ALENQUER,1500404,-0.6047711609094449,-55.03912033327445,2470
ALMEIRIM,1500503,0.2844785826849335,-53.89355157345428,2496
ALTAMIRA,1500602,-6.486174456352433,-53.886702466534956,2518
ANAJÁS,1500701,-0.8270153016427829,-49.96134475308207,2534
ANANINDEUA,1500800,-1.3344437564717069,-48.383378829647796,98396
ANAPU,1500859,-3.997245055568545,-51.30121499966937,2550
AUGUSTO CORRÊA,1500909,-1.104488082618949,-46.50734566638546,2577
AURORA DO PARÁ,1500958,-2.231013285038592,-47.72630342419205,2593
AVEIRO,1501006,-3.6671835529243166,-56.016250147816855,2615
BAGRE,1501105,-2.3730315334998977,-50.18188822429147,2631
BAIÃO,1501204,-3.1292516337489005,-49.6988858870296,2658
BANNACH,1501253,-7.486305124887796,-50.634140124396374,2011
BARCARENA,1501303,-1.4985302532570015,-48.63426334619264,2674
BELÉM,1501402,-1.2406086436444408,-48.45999958943059,2690
BELTERRA,1501451,-3.1910783090386547,-54.99284581897018,2712
BENEVIDES,1501501,-1.3395657810449,-48.27570779943277,98418
BOM JESUS DO TOCANTINS,1501576,-5.0542143682639145,-48.76350000815749,98434
BONITO,1501600,-1.3872484491754655,-47.302134160814326,2372
BRAGANÇA,1501709,-1.1966299446943311,-46.765128386548064,2739
BRASIL NOVO,1501725,-3.29198177014872,-52.685360375861215,2836
BREJO GRANDE DO ARAGUAIA,1501758,-5.735728291749643,-48.43183797806673,2755
BREU BRANCO,1501782,-3.733478357574602,-49.371272803798675,98450
BREVES,1501808,-1.1210620573351258,-50.62808300993621,2771
BUJARU,1501907,-1.634012303487834,-48.088713877847134,98477
CACHOEIRA DO PIRIÁ,1501956,-1.9906452750489283,-46.440923498689614,2798
CACHOEIRA DO ARARI,1502004,-0.8695131935803659,-48.877169020757115,2810
CAMETÁ,1502103,-2.252936392756247,-49.51343459260161,98515
CANAÃ DOS CARAJÁS,1502152,-6.424251694938345,-50.08574151983672,98493
CAPANEMA,1502202,-1.1434213837487022,-47.11955796182516,2852
CAPITÃO POÇO,1502301,-2.043766821029778,-47.23416682547201,2879
CASTANHAL,1502400,-1.2690560616871551,-47.87681897370236,6084
CHAVES,1502509,-0.02947702975501775,-49.829322572625074,6017
COLARES,1502608,-0.9038167011511296,-48.2846808136645,6033
CONCEIÇÃO DO ARAGUAIA,1502707,-8.182359262415652,-49.51276661294837,6068
CONCÓRDIA DO PARÁ,1502756,-1.8840908420143203,-47.974778231466246,6114
CUMARU DO NORTE,1502764,-8.458149475649371,-51.22099399947728,6041
CURIONÓPOLIS,1502772,-6.228704201181402,-49.624646257182896,6130
CURRALINHO,1502806,-1.5836211213846954,-49.98807513179306,6050
CURUÁ,1502855,-1.845743523926756,-55.1135406572831,6076
CURUÇÁ,1502905,-0.7427593098957326,-47.863009189808174,6092
DOM ELISEU,1502939,-4.1866417809141465,-47.898163803534615,6025
ELDORADO DO CARAJÁS,1502954,-6.0696443710344425,-49.24545489382309,6009
FARO,1503002,-1.1591053974746386,-57.805990365703884,6157
FLORESTA DO ARAGUAIA,1503044,-7.5483859099145985,-49.57621167581228,6106
GARRAFÃO DO NORTE,1503077,-2.168019058485408,-47.07532074218385,6173
GOIANÉSIA DO PARÁ,1503093,-4.027165877025838,-49.00573586619922,6122
GURUPÁ,1503101,-1.1517499034483292,-51.55506971252993,33014
IGARAPÉ-AÇU,1503200,-1.1450871896883446,-47.56591488299012,33030
IGARAPÉ-MIRI,1503309,-2.062696199351916,-49.130674137112855,33057
INHANGAPI,1503408,-1.464763238263144,-47.92286724805992,33065
IPIXUNA DO PARÁ,1503457,-2.8058152300757597,-47.92176770914193,33073
IRITUIA,1503507,-1.81250168376634,-47.399627308943046,33111
ITAITUBA,1503606,-5.871082580785477,-56.49664599332197,33138
ITUPIRANGA,1503705,-5.114822395066471,-49.869863124141595,33154
JACAREACANGA,1503754,-7.445217766724856,-57.3027115915965,33170
JACUNDÁ,1503804,-4.5985988329273635,-49.18121439880011,33197
JURUTI,1503903,-2.6229579092012805,-56.22145079651986,33219
LIMOEIRO DO AJURU,1504000,-1.8642314453029207,-49.46921389041046,30716
MÃE DO RIO,1504059,-1.9911436246058771,-47.51238467145653,33235
MAGALHÃES BARATA,1504109,-0.8091029901948114,-47.63519085498689,33251
MARABÁ,1504208,-5.62979702359597,-50.01697630046286,33260
MARACANÃ,1504307,-0.8023399989971406,-47.49661440683611,33278
MARAPANIM,1504406,-0.8407129295709423,-47.70886638204037,33294
MARITUBA,1504422,-1.397245811368124,-48.31970822739561,33316
MEDICILÂNDIA,1504455,-3.1602592627698405,-53.19508215513192,33332
MELGAÇO,1504505,-1.607668310174114,-51.10394686338897,33359
MOCAJUBA,1504604,-2.5766759885073776,-49.46619850435254,33375
MOJU,1504703,-2.6838830785273786,-49.07399065444687,33405
MOJUÍ DOS CAMPOS,1504752,-3.0703595301853723,-54.57515435617052,33383
MONTE ALEGRE,1504802,-1.074300830889086,-54.353050313441926,33391
MUANÁ,1504901,-1.3556245186140248,-49.309180671660954,33413
NOVA ESPERANÇA DO PIRIÁ,1504950,-2.392679411896929,-46.899972113608634,33430
NOVA IPIXUNA,1504976,-4.981176418931743,-49.23071970337841,30732
NOVA TIMBOTEUA,1505007,-1.1564647755210726,-47.392033810017004,33456
NOVO PROGRESSO,1505031,-8.06229557228316,-55.61203689631078,33472
NOVO REPARTIMENTO,1505064,-4.502791073076576,-50.27153636974924,33499
ÓBIDOS,1505106,-0.16995094700887212,-55.67501179857497,33510
OEIRAS DO PARÁ,1505205,-2.2789160809092195,-49.90233513935063,33529
ORIXIMINÁ,1505304,0.2550572530050177,-57.149914281201646,33537
OURÉM,1505403,-1.4962416299452308,-47.139139576081114,33553
OURILÂNDIA DO NORTE,1505437,-7.52048400512779,-51.43104382530662,33570
PACAJÁ,1505486,-3.684148770428676,-50.63151211479842,33596
PALESTINA DO PARÁ,1505494,-5.926974486001371,-48.37014041097449,33618
PARAGOMINAS,1505502,-3.2034117380831426,-47.60291533722409,33634
PARAUAPEBAS,1505536,-6.1516092868781564,-50.48969793625513,30759
PAU D'ARCO,1505551,-7.7372284907739015,-50.12324621197655,33650
PEIXE-BOI,1505601,-1.1306557623527511,-47.27197273813214,30775
PIÇARRA,1505635,-6.540997779536197,-49.01182509348708,33677
PLACAS,1505650,-3.8899113600537887,-54.500825311942975,33693
PONTA DE PEDRAS,1505700,-1.11738522723237,-49.07744325514188,33715
PORTEL,1505809,-2.5655361592248846,-50.955633884514896,33731
PORTO DE MOZ,1505908,-2.1846266947867066,-52.54772885185285,33758
PRAINHA,1506005,-2.120203148053017,-53.660169837006606,33774
PRIMAVERA,1506104,-0.9529499871765286,-47.13127080987017,33782
QUATIPURU,1506112,-0.8520099756149331,-47.016052904264534,33790
REDENÇÃO,1506138,-8.069462863280357,-50.19807917486847,33804
RIO MARIA,1506161,-7.340524075779903,-49.89499625336706,33812
RONDON DO PARÁ,1506187,-4.516940786250767,-48.46001400716775,33839
RURÓPOLIS,1506195,-4.241014522319507,-55.21076823814602,33855
SALINÓPOLIS,1506203,-0.6803793639172204,-47.34865832848558,33871
SALVATERRA,1506302,-0.8014161765278236,-48.609160299290885,33898
SANTA BÁRBARA DO PARÁ,1506351,-1.1941680818410785,-48.250406074762004,33910
SANTA CRUZ DO ARARI,1506401,-0.5835586970497454,-49.31383189228937,33936
SANTA IZABEL DO PARÁ,1506500,-1.365100927796908,-48.129367616491464,30791
SANTA LUZIA DO PARÁ,1506559,-1.6572422544928327,-46.927118208659934,33952
SANTA MARIA DAS BARREIRAS,1506583,-8.633890247691827,-50.314332050168744,33960
SANTA MARIA DO PARÁ,1506609,-1.3746498057238477,-47.52141670616371,33979
SANTANA DO ARAGUAIA,1506708,-9.364071275935716,-50.61127801678039,33995
SANTARÉM,1506807,-2.6793042218316883,-55.23847324046884,34010
SANTARÉM NOVO,1506906,-0.9133569130296776,-47.33276175876489,34029
SANTO ANTÔNIO DO TAUÁ,1507003,-1.093087002162575,-48.18282276105789,34037
SÃO CAETANO DE ODIVELAS,1507102,-0.791266033380996,-48.078627171940916,34053
SÃO DOMINGOS DO ARAGUAIA,1507151,-5.657492921885472,-48.73047199123235,34070
SÃO DOMINGOS DO CAPIM,1507201,-1.8838573708555968,-47.77171375950458,34096
SÃO FÉLIX DO XINGU,1507300,-7.233366190669327,-52.252790155880824,34118
SÃO FRANCISCO DO PARÁ,1507409,-1.206119894204564,-47.74691627657712,34134
SÃO GERALDO DO ARAGUAIA,1507458,-6.189148112824067,-48.74807237966799,34150
SÃO JOÃO DA PONTA,1507466,-0.8706244170237095,-47.96406218107962,34177
SÃO JOÃO DE PIRABAS,1507474,-0.7801764798823132,-47.211474810309106,34193
SÃO JOÃO DO ARAGUAIA,1507508,-5.4473599451010415,-48.6965129302649,34215
SÃO MIGUEL DO GUAMÁ,1507607,-1.552728413711942,-47.61107367020133,34231
SÃO SEBASTIÃO DA BOA VISTA,1507706,-1.4339184252212869,-49.680285670521485,34258
SAPUCAIA,1507755,-6.838929336836952,-49.569893609421825,34274
SENADOR JOSÉ PORFÍRIO,1507805,-4.1698956954367,-51.773804847507705,34290
SOURE,1507904,-0.4927112068251464,-48.637150379199475,34312
TAILÂNDIA,1507953,-2.907871843191878,-48.73666212171475,34339
TERRA ALTA,1507961,-1.0028118765371552,-47.848377800001316,34355
TERRA SANTA,1507979,-1.9514668400024928,-56.458367657265214,30856
TOMÉ-AÇU,1508001,-2.636035500740756,-48.2675854560166,30813
TRACUATEUA,1508035,-1.0249910939748803,-46.933950874459256,30830
TRAIRÃO,1508050,-5.130289952786325,-56.003490630122,34363
TUCUMÃ,1508084,-6.820068122972505,-51.39115880288959,34371
TUCURUÍ,1508100,-3.8559010478402476,-49.82107203844638,34398
ULIANÓPOLIS,1508126,-3.8099799479514616,-47.49365238041332,34410
URUARÁ,1508159,-3.5836239905813567,-53.80743141151388,34436
VIGIA,1508209,-0.8883241466252226,-48.137842726099215,34452
VISEU,1508308,-1.5304302237162677,-46.45475194103379,34479
VITÓRIA DO XINGU,1508357,-3.1352542890823845,-51.97388010065773,34495
XINGUARA,1508407,-6.917754460343652,-49.63525521565548,34509
SERRA DO NAVIO,1600055,1.6517299679294508,-52.26803307273365,34517
AMAPÁ,1600105,1.765523575876346,-50.58087172681239,34533
PEDRA BRANCA DO AMAPARI,1600154,1.1576295046404659,-52.519547170631036,34550
CALÇOENE,1600204,2.4314706420695917,-51.403582245422214,34576
CUTIAS,1600212,1.0355724435072378,-50.48686893824061,34592
FERREIRA GOMES,1600238,0.9572631966702044,-51.4173081171343,34614
ITAUBAL,1600253,0.5386978470166285,-50.64000012282733,34630
LARANJAL DO JARI,1600279,1.1015284825705685,-53.31057140022399,34657
MACAPÁ,1600303,0.5546175210808428,-50.701592697868655,34673
MAZAGÃO,1600402,-0.06689732377889825,-51.95117459520567,34690
OIAPOQUE,1600501,3.0892833632367416,-51.90467831354218,34711
PORTO GRANDE,1600535,0.585644509098297,-51.669973222603204,34738
PRACUÚBA,1600550,1.62592202150793,-51.27841638625284,34754
SANTANA,1600600,0.12967572075136047,-51.37802296141782,34770
TARTARUGALZINHO,1600709,1.2976277569763204,-50.99259049161326,34797
VITÓRIA DO JARI,1600808,-0.996386356483706,-52.06114990627471,34819
ABREULÂNDIA,1700251,-9.4804702555832,-49.309821805279896,34835
AGUIARNÓPOLIS,1700301,-6.487681629654834,-47.513171157104104,34851
ALIANÇA DO TOCANTINS,1700350,-11.332297908136427,-48.908199555612285,34878
ALMAS,1700400,-11.429995844163836,-47.2104874395125,34894
ALVORADA,1700707,-12.408463658126134,-49.112915584320746,34916
ANANÁS,1701002,-6.2323324158817766,-48.18695436681281,34932
ANGICO,1701051,-6.435713847249372,-47.91297626937703,34959
APARECIDA DO RIO NEGRO,1701101,-9.987907630265722,-48.00080523439568,34975
ARAGOMINAS,1701309,-6.945981767612143,-48.633056101125966,34991
ARAGUACEMA,1701903,-8.939552052596955,-49.50482237079571,30872
ARAGUAÇU,1702000,-12.84116915230488,-49.696166240229985,35017
ARAGUAÍNA,1702109,-7.331679497537899,-48.58779673816918,35033
ARAGUANÃ,1702158,-6.79102048595759,-48.52515085462165,35050
ARAGUATINS,1702208,-5.665560281586761,-48.10568482153021,35076
ARAPOEMA,1702307,-7.723111948155306,-48.99983222400762,35092
ARRAIAS,1702406,-12.818617022208985,-47.0477278956621,33090
AUGUSTINÓPOLIS,1702554,-5.497971130056159,-47.92915075039053,35114
AURORA DO TOCANTINS,1702703,-12.642552350636844,-46.41845398597605,35130
AXIXÁ DO TOCANTINS,1702901,-5.645640043395607,-47.76626013932382,30058
BABAÇULÂNDIA,1703008,-7.175014086856884,-47.85584725871234,30899
BANDEIRANTES DO TOCANTINS,1703057,-7.9035092157823,-48.67562695323429,35149
BARRA DO OURO,1703073,-7.717265805631282,-47.57854722981641,35157
BARROLÂNDIA,1703107,-9.869051324572297,-48.79192932576908,30910
BERNARDO SAYÃO,1703206,-7.982991029570013,-48.9691812209344,35173
BOM JESUS DO TOCANTINS,1703305,-9.01267673082901,-47.879334142241184,35190
BRASILÂNDIA DO TOCANTINS,1703602,-8.29021628103617,-48.442691248899756,35211
BREJINHO DE NAZARÉ,1703701,-11.029486556135206,-48.62504736966629,35238
BURITI DO TOCANTINS,1703800,-5.337508067152352,-48.13826687591907,30937
CACHOEIRINHA,1703826,-6.0906120942957385,-47.84152546557327,35254
CAMPOS LINDOS,1703842,-8.2033619892895,-46.80416585477595,35270
CARIRI DO TOCANTINS,1703867,-11.93404893427603,-49.20317245213661,35297
CARMOLÂNDIA,1703883,-7.0456924584732,-48.37495427533136,35319
CARRASCO BONITO,1703891,-5.336599157473554,-48.01047004416078,30953
CASEARA,1703909,-9.40032323037124,-49.847936625835025,35335
CENTENÁRIO,1704105,-9.074073132832677,-47.4447349844254,35351
CHAPADA DE AREIA,1704600,-10.165574847895012,-49.19650691270592,30970
CHAPADA DA NATIVIDADE,1705102,-11.541777386232887,-47.84618384639346,35378
COLINAS DO TOCANTINS,1705508,-8.076518645615835,-48.53008269171625,35394
COMBINADO,1705557,-12.846724424052189,-46.50332972928463,35416
CONCEIÇÃO DO TOCANTINS,1705607,-12.169293071058554,-47.30336456261669,35432
COUTO MAGALHÃES,1706001,-8.436898673854675,-49.162603861161784,35459
CRISTALÂNDIA,1706100,-10.637048455177863,-49.31320968631283,35475
CRIXÁS DO TOCANTINS,1706258,-11.17260891817106,-49.07376884590634,35513
DARCINÓPOLIS,1706506,-6.762911969048767,-47.76854382189693,35530
DIANÓPOLIS,1707009,-11.700196078287599,-46.80933846413409,35556
DIVINÓPOLIS DO TOCANTINS,1707108,-9.694913466706756,-49.354795964349044,35572
DOIS IRMÃOS DO TOCANTINS,1707207,-9.27138213750482,-49.06640777140875,35599
DUERÉ,1707306,-11.428491443472474,-49.390887964502326,35610
ESPERANTINA,1707405,-5.3264187511179815,-48.54066929777501,35637
FÁTIMA,1707553,-10.809557662898703,-48.87433506150363,35653
FIGUEIRÓPOLIS,1707652,-12.264125910467731,-49.283041421397314,35670
FILADÉLFIA,1707702,-7.4969232188679955,-47.79392483837302,35696
FORMOSO DO ARAGUAIA,1708205,-11.959020914061027,-50.09813963024337,35700
FORTALEZA DO TABOCÃO,1708254,-9.072409310043348,-48.54546692947592,35718
GOIANORTE,1708304,-8.87361031163077,-49.01011169015121,35734
GOIATINS,1709005,-8.093947826911801,-47.48116702498528,35750
GUARAÍ,1709302,-8.738939962110077,-48.441416555012815,35777
GURUPI,1709500,-11.651805715940686,-48.886668505263536,35793
IPUEIRAS,1709807,-11.136145167436357,-48.40405783322216,35815
ITACAJÁ,1710508,-8.571699161528006,-47.66904763902153,35831
ITAGUATINS,1710706,-5.803578974884123,-47.59660836256224,35858
ITAPIRATINS,1710904,-8.316468197348968,-48.03297951683328,35874
ITAPORÃ DO TOCANTINS,1711100,-8.451322274265063,-48.75191865032304,35890
JAÚ DO TOCANTINS,1711506,-12.747669213116119,-48.645906170634994,35912
JUARINA,1711803,-8.140228943872183,-49.1108492511059,35939
LAGOA DA CONFUSÃO,1711902,-11.036129419918703,-50.160397344755786,35947
LAGOA DO TOCANTINS,1711951,-10.341956300083703,-47.48165247818528,35955
LAJEADO,1712009,-9.84859259373352,-48.28987290934288,35971
LAVANDEIRA,1712157,-12.819962879901448,-46.39530561819301,35998
LIZARDA,1712405,-9.525548729451351,-46.938741103423176,36013
LUZINÓPOLIS,1712454,-6.206421440661039,-47.83010689948289,36030
MARIANÓPOLIS DO TOCANTINS,1712504,-9.787512283026695,-49.69996529635117,36056
