NM_MUNICIP,CD_GEOCMU,latitude,longitude,COD_TSE
SÃO JOÃO DE MERITI,3305109,-22.78509820143553,-43.36516025479829,75183
SÃO JOSÉ DE UBÁ,3305133,-21.370634322164946,-41.94944196856744,74772
SÃO JOSÉ DO VALE DO RIO PRETO,3305158,-22.16983578883276,-42.93255741051738,74780
SÃO PEDRO DA ALDEIA,3305208,-22.78813004922423,-42.1262635370772,74799
SÃO SEBASTIÃO DO ALTO,3305307,-21.88338714703139,-42.102493264380065,74810
SAPUCAIA,3305406,-22.02421770169281,-42.82283079190819,75205
SAQUAREMA,3305505,-22.878259755660743,-42.51853212740637,74837
SEROPÉDICA,3305554,-22.759896283212395,-43.7027043199684,74853
SILVA JARDIM,3305604,-22.56751487825043,-42.4134310784754,74225
SUMIDOURO,3305703,-22.10728539676007,-42.66425483827563,84514
TANGUÁ,3305752,-22.782321393394536,-42.725183244053156,74870
TERESÓPOLIS,3305802,-22.314013573915553,-42.87331514129106,74896
TRAJANO DE MORAES,3305901,-22.13029851200233,-42.15558739921607,75221
TRÊS RIOS,3306008,-22.124603518168364,-43.112167585303794,74918
VALENÇA,3306107,-22.234081440548906,-43.857235355363464,74934
VARRE-SAI,3306156,-20.89292049542695,-41.82956113407197,74950
VASSOURAS,3306206,-22.358304019141983,-43.56939574125439,74977
VOLTA REDONDA,3306305,-22.49143079746768,-44.08912845255905,74993
ADAMANTINA,3500105,-21.576583756778817,-51.05658768142472,75019
ADOLFO,3500204,-21.288483458243483,-49.653460645922486,79570
AGUAÍ,3500303,-22.049939528238028,-47.04019408762312,75035
ÁGUAS DA PRATA,3500402,-21.91413101299117,-46.69135995041836,75051
ÁGUAS DE LINDÓIA,3500501,-22.474654134738582,-46.60269133366436,75078
ÁGUAS DE SANTA BÁRBARA,3500550,-22.85779129727032,-49.26102997126057,75094
ÁGUAS DE SÃO PEDRO,3500600,-22.598648915189784,-47.874764478870716,75132
AGUDOS,3500709,-22.571795215746388,-49.10851351266886,75159
ALAMBARI,3500758,-23.54843712102981,-47.868888147213156,75175
ALFREDO MARCONDES,3500808,-21.934917833525105,-51.39546439962954,75191
ALTAIR,3500907,-20.533489639316148,-49.093484043970825,75213
ALTINÓPOLIS,3501004,-21.018088444845766,-47.38655051338894,75230
ALTO ALEGRE,3501103,-21.612298860356773,-50.192384009955305,75256
ALUMÍNIO,3501152,-23.53357903380589,-47.28123663933794,75248
ÁLVARES FLORENCE,3501202,-20.289267326034,-49.92017475822258,75272
ÁLVARES MACHADO,3501301,-22.131347571715388,-51.51488415404499,75280
ÁLVARO DE CARVALHO,3501400,-22.08636620226828,-49.73380968144184,75337
ALVINLÂNDIA,3501509,-22.452475437785072,-49.75865679595115,74241
AMERICANA,3501608,-22.72357359961795,-47.28935934873999,75299
AMÉRICO BRASILIENSE,3501707,-21.722232231490224,-48.03182908239151,75310
AMÉRICO DE CAMPOS,3501806,-20.289829203193946,-49.76827398291487,75264
AMPARO,3501905,-22.69914920197773,-46.79873825375486,75353
ANALÂNDIA,3502002,-22.121001755370155,-47.67809117006116,75370
ANDRADINA,3502101,-20.835485557525047,-51.32985234427245,75396
ANGATUBA,3502200,-23.43692387895679,-48.45934425948932,74268
ANHEMBI,3502309,-22.80000778667245,-48.174743940737656,75400
ANHUMAS,3502408,-22.36166230286618,-51.42747181586984,75418
APARECIDA,3502507,-22.91403382107277,-45.237342902040616,84654
APARECIDA D'OESTE,3502606,-20.47878568067205,-50.92204694154312,75434
APIAÍ,3502705,-24.42157157843473,-48.81735274375521,74942
